source,author,title,description,url,urlToImage,publishedAt,content,t_score,d_score
"{'id': None, 'name': 'Sogi.com.tw'}",,Google Pixel 3調降價格求售Pixel 3 XL降最多 - SOGI 手機王,"Google 趁著農曆新年即將到來，大幅度調整 Pixel 3 與 Pixel 3 XL 手機價格，Pixel 3 調降五千，64GB 與 128GB 售價分別為 22,700、25,700 元；Pixel 3 XL 則是一口氣下降七千，64GB 與 128GB 分別變成只要 24,100、27,1",https://www.sogi.com.tw/articles/google_pixel3_xl/6252346,https://d2lfcsub12kx0l.cloudfront.net/tw/article/img/201902/2019020216100273145_ExtraLargeSize-640x640.jpg,2019-02-02T16:19:05Z,"Google Pixel 3 Pixel 3 XL Pixel 3 64GB 128GB 22,700 25,700 Pixel 3 XL 64GB 128GB 24,100 27,100 Google Pixel 3 Pixel 3 XL Google Pixel 3 Pixel 3 XL IP68 18W Qi 5.0 5.5 Google Pixel 3 6.3 Pixel 3 XL Active Edge Android 9 Pie Qualcomm Snapdragon 845 4GB RAM 800 … [+61 chars]",0.5043202766079721,0.5284244415906865
"{'id': None, 'name': 'Tubantia.nl'}",,Politiek na onderzoek Tubantia: 'Macht van Google moet ingeperkt' - Tubantia,,https://www.tubantia.nl/enschede/politiek-na-onderzoek-tubantia-macht-van-google-moet-ingeperkt~a93c77fd/,,2019-02-02T15:43:00Z,"Ja, ik accepteer cookies Tubantia en Krant.nl gebruiken cookies en vergelijkbare technologieën (cookies) onder andere om je een optimale gebruikerservaring te bieden. Ook kunnen we hierdoor het gedrag van bezoekers vastleggen en analyseren en deze informatie … [+1250 chars]",-0.5450307349986399,0
"{'id': None, 'name': 'Kaldata.com'}",,Появи се нова информация за възможностите на Android Q 10 - Kaldata.com,"Източници съобщават все повече нова информация за възможностите на десетата версия на мобилната операционна система, разработена от Google, която засега е",https://www.kaldata.com/%D1%82%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD%D0%B8/%D0%BF%D0%BE%D1%8F%D0%B2%D0%B8-%D1%81%D0%B5-%D0%BD%D0%BE%D0%B2%D0%B0-%D0%B8%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%86%D0%B8%D1%8F-%D0%B7%D0%B0-%D0%B2%D1%8A%D0%B7%D0%BC%D0%BE%D0%B6%D0%BD%D0%BE%D1%81-302868.html,https://i1.wp.com/www.kaldata.com/wp-content/uploads/2018/11/android-q-750x383.jpg?fit=750%2C383&ssl=1,2019-02-02T13:46:48Z,", Google, Android Q. Q,,. -,., Google Assistant,. Android 10 Q., Android Q,, Android-., :,,. Sensor Privacy,.,. -, Android Wi-Fi Protected Access 3 (WPA3) (5G). Android 10 Q,, Google I/O.",-0.541085871758171,-0.5095519989067516
"{'id': None, 'name': 'Tubantia.nl'}",,Dit vinden digitale experts van de werkwijze van Google - Tubantia,,https://www.tubantia.nl/enschede/dit-vinden-digitale-experts-van-de-werkwijze-van-google~a9192e05/,,2019-02-02T13:01:00Z,"Ja, ik accepteer cookies Tubantia en Krant.nl gebruiken cookies en vergelijkbare technologieën (cookies) onder andere om je een optimale gebruikerservaring te bieden. Ook kunnen we hierdoor het gedrag van bezoekers vastleggen en analyseren en deze informatie … [+1250 chars]",0.5452340185367268,0
"{'id': None, 'name': 'Newindianexpress.com'}",Bloomberg,More Google employees are losing faith in their CEO's vision - The New Indian Express,"To a question on whether Pichai’s vision of what Google can achieve inspires them, only 78 per cent workers indicated yes, down 10 percentage points from the previous year.",http://www.newindianexpress.com/business/2019/feb/02/more-google-employees-are-losing-faith-in-their-ceos-vision-1933394.html,http://images.newindianexpress.com/uploads/user/imagelibrary/2018/9/29/w600X390/sunder-pichai-pti.jpg,2019-02-02T10:16:00Z,Alphabet Inc.’s Google became the most-profitable internet company by recruiting talented technologists and inspiring them enough to keep them around. That advantage may be slipping as some workers increasingly doubt the leadership and vision of Chief Executi… [+3167 chars],0.7997693475148189,0.5934286518030537
"{'id': None, 'name': 'Tweakers.net'}",Arnoud Wokke,Onderzoeksbureau werkt in Nederland met vpn-app op telefoons voor marktonderzoek - Tweakers,"Onderzoeksbureau Kantar vraagt voor zijn bereiksonderzoek om een vpn-app op Android-tablets en -smartphones te zetten. Dat gebeurt niet alleen bij volwassenen, maar ook bij kinderen. Google en Facebook raakten deze week in opspraak vanwege het gebruik van vpn…",https://tweakers.net/nieuws/148666/onderzoeksbureau-werkt-in-nederland-met-vpn-app-op-telefoons-voor-marktonderzoek.html,https://tweakers.net/i/Cv_cevr49VxVcyAIgngo8WylTk0=/fit-in/67x67/i/1321259372.png?f=fpa,2019-02-02T08:22:48Z,"Onderzoeksbureau Kantar vraagt voor zijn bereiksonderzoek om een vpn-app op Android-tablets en -smartphones te zetten. Dat gebeurt niet alleen bij volwassenen, maar ook bij kinderen. Google en Facebook raakten deze week in opspraak vanwege het gebruik van vpn… [+3623 chars]",-0.5305342334845795,-0.5592031842042391
"{'id': None, 'name': 'Ndtv.com'}",,Google To Occupy 35-Storey Office Tower In US: Report - NDTV News,Google has reportedly signed a lease for a 35-storey tower in Austin which is scheduled to be ready for occupancy in the second quarter of 2022.,https://www.ndtv.com/world-news/google-to-occupy-35-storey-office-tower-in-us-report-1987253,https://c.ndtvimg.com/2018-10/2aq2a0po_google-logo_625x300_09_October_18.jpg,2019-02-02T07:50:00Z,"The 35-storey tower could potentially provide room for 5,000 Google employees. San Francisco: Google has reportedly signed a lease for a 35-storey tower in Austin which is scheduled to be ready for occupancy in the second quarter of 2022. The construction of … [+896 chars]",-0.5185358356789385,-0.5766319590184628
"{'id': None, 'name': 'Telesintese.com.br'}",Facebook,"Google Pay passa a funcionar com cartões Itaú, Credicard e Itaucard - Telesintese.","Sistema funciona em smartphones Android 5.0 ou superior. Em breve, banco lançará cadastro para quem usa cartão de débito.",http://www.telesintese.com.br/google-pay-passa-a-funcionar-com-cartoes-itau-credicard-e-itaucard/,https://i1.wp.com/www.telesintese.com.br/wp-content/uploads/2014/03/shutterstock_LDprod_Consumidor_Mercado_Negocios_M_Payment.jpg?fit=500%2C334,2019-02-01T17:47:00Z,"O Itaú Unibanco e o Google fecharam parceria que integra os cartões do Itaú com o serviço de pagamento Google Pay. Desde ontem, 31, o serviço do Google poderá ser utilizado por todos os clientes titulares de cartões de crédito Itaú, Credicard ou Itaucard. Em … [+1154 chars]",0.502084213136198,0.6391127246620639
"{'id': None, 'name': 'Ulifestyle.com.hk'}",,美顏‧修圖竟變「加料app」！ Google Play 淪邪惡溫床【附名單】 - ezone.hk - 科技焦點- 流動 - ezone.hk,美顏、修圖現時是平常事，但不少所謂「Beauty Camera」apps 竟暗藏惡意程式碼，突然彈出色情資訊，或背後進行「釣魚」(Phising)，宣稱用家中了獎及進行確認，誘導用家去不法網站，藉故偷,https://ezone.ulifestyle.com.hk/article/2266187/%E7%BE%8E%E9%A1%8F%E2%80%A7%E4%BF%AE%E5%9C%96%E7%AB%9F%E8%AE%8A%E3%80%8C%E5%8A%A0%E6%96%99%20app%E3%80%8D%EF%BC%81%20Google%20Play%20%E6%B7%AA%E9%82%AA%E6%83%A1%E6%BA%AB%E5%BA%8A%E3%80%90%E9%99%84%E5%90%8D%E5%96%AE%E3%80%91,https://resource01.ulifestyle.com.hk/res/v3/image/content/2265000/2266187/20190201_Beauty-Camera-app-2_1024.jpg,2019-02-01T16:37:00Z,Beauty Cameraapps (Phising) TrendMicro Google Play apps appsBeauty CameraPro Camera BeautyHorizon Beauty Camera apps apps MWC Samsung Samsung Galaxy F TrendMicro apps DirectLinkServicestartActivity iPhone X OK……d3pukqxlxhielm TrendMicro Google Play apps Pro C… [+492 chars],-0.5034789298549746,0.6258983370694235
"{'id': None, 'name': 'Zougla.gr'}",,Στους δρόμους της Αθήνας το υπερσύγχρονο αυτοκίνητο της Google - Zougla,Στους δρόμους της Αθήνας εντοπίσαμε το περιβόητο αυτοκίνητο της Google το οποίο χρησιμοποιείται για την καταγραφή εικόνων για την υπηρεσία Street View. Αθήνα αυτοκίνητο Google street view,https://www.zougla.gr/greece/article/stous-dromous-tis-a8inas-to-ipersigxrono-aftokinito-tis-gogle,https://www.zougla.gr/assets/images/2599273.jpg,2019-02-01T12:21:00Z,"Google Street View. Google Street View, 360,.",-0.5095519989067516,-0.5089191429810027
