Date,Close-1,Close-2,Close-3,Open-1,High-1,Low-1,Volume-1,Close
19980107,131.1300,130.3800,131.1300,129.8800,131.1900,127.5000,7686600,129.5600
19980108,129.5600,131.1300,130.3800,128.6300,132.1300,127.5000,9702400,130.5000
19980109,130.5000,129.5600,131.1300,130.0600,131.5000,125.8700,10941800,127.0000
19980112,127.0000,130.5000,129.5600,124.6200,130.0000,124.3700,9799200,129.5000
19980113,129.5000,127.0000,130.5000,129.5000,132.2500,128.1300,8368200,132.1300
19980114,132.1300,129.5000,127.0000,132.1300,132.5000,129.2500,6846800,131.1300
19980115,131.1300,132.1300,129.5000,130.3800,133.0000,129.8800,6327800,132.3100
19980116,132.3100,131.1300,132.1300,132.3800,135.3800,132.3100,9117900,135.2500
19980120,135.2500,132.3100,131.1300,134.1300,138.0000,134.0000,8119500,137.8100
19980121,137.8100,135.2500,132.3100,137.2500,138.4400,135.6300,10695900,137.0000
19980122,137.0000,137.8100,135.2500,135.5600,139.8800,135.3100,19892400,138.6300
19980123,138.6300,137.0000,137.8100,138.7500,139.4400,136.7000,7914000,138.2500
19980126,138.2500,138.6300,137.0000,139.8800,141.8800,138.4500,9284700,141.7500
19980127,141.7500,138.2500,138.6300,142.3800,145.8800,141.5600,12192600,145.1900
19980128,145.1900,141.7500,138.2500,146.2500,149.5000,145.5000,9923400,149.0000
19980129,149.0000,145.1900,141.7500,148.9400,150.1300,147.5000,9196400,148.2500
19980130,148.2500,149.0000,145.1900,148.6300,150.0000,147.6300,6258900,149.1900
19980202,149.1900,148.2500,149.0000,151.7500,155.1300,150.5000,12299700,154.8800
19980203,154.8800,149.1900,148.2500,155.1300,156.1300,153.8100,7671800,155.8800
19980204,155.8800,154.8800,149.1900,155.8800,158.0000,155.0600,7742600,156.8100
19980205,156.8100,155.8800,154.8800,158.1300,158.7500,154.7500,8376800,155.4400
19980206,155.4400,156.8100,155.8800,155.3800,158.2500,155.1300,6258800,158.1300
19980209,158.1300,155.4400,156.8100,158.7500,158.8800,155.6300,6835200,157.1900
19980210,157.1900,158.1300,155.4400,157.2500,159.5000,156.7500,6012400,159.2500
19980211,159.2500,157.1900,158.1300,159.3800,160.0600,157.0600,9557500,158.9400
19980212,158.9400,159.2500,157.1900,158.0600,158.9400,156.4400,9582300,158.7500
19980213,158.7500,158.9400,159.2500,158.6300,158.7500,157.3800,5275400,157.5000
19980217,157.5000,158.7500,158.9400,158.5000,158.5000,153.8800,10709200,154.3800
19980218,154.3800,157.5000,158.7500,154.6300,156.0000,153.7500,9576100,154.6300
19980219,154.6300,154.3800,157.5000,155.5000,156.0600,154.2500,9221700,154.8800
19980220,154.8800,154.6300,154.3800,155.5000,155.7500,152.8800,10761500,155.1300
19980223,155.1300,154.8800,154.6300,80.9400,81.6900,79.3700,15100450,81.6200
19980224,81.6200,155.1300,154.8800,83.3700,84.9400,81.8700,29575500,82.1200
19980225,82.1200,81.6200,155.1300,83.4400,85.0000,83.0600,23736100,84.9400
19980226,84.9400,82.1200,81.6200,85.5000,85.6900,84.4400,15347000,85.5000
19980227,85.5000,84.9400,82.1200,85.5600,86.0000,84.5600,11883100,84.7500
19980302,84.7500,85.5000,84.9400,85.8700,85.8700,83.0600,12523400,83.3100
19980303,83.3100,84.7500,85.5000,82.6200,84.5600,82.5600,12688400,84.5000
19980304,84.5000,83.3100,84.7500,82.4400,83.8100,81.5600,17878400,82.3100
19980305,82.3100,84.5000,83.3100,79.2500,81.4400,79.2500,23063900,80.0600
19980306,80.0600,82.3100,84.5000,80.3100,82.7500,80.2500,12851200,82.7500
19980309,82.7500,80.0600,82.3100,82.5000,82.5000,79.5000,13064000,79.5900
19980310,79.5900,82.7500,80.0600,81.1900,81.5000,79.9400,11851600,81.5000
19980311,81.5000,79.5900,82.7500,82.0000,82.0000,79.7500,9959700,80.6900
19980312,80.6900,81.5000,79.5900,82.5000,82.6200,80.8100,11990500,81.8700
19980313,81.8700,80.6900,81.5000,82.4400,83.0000,81.5600,8135600,82.3700
19980316,82.3700,81.8700,80.6900,82.4400,82.7500,81.3700,6994900,82.0000
19980317,82.0000,82.3700,81.8700,81.6900,81.6900,79.6900,13460600,80.3700
19980318,80.3700,82.0000,82.3700,80.0600,81.8100,79.8700,8471900,81.7500
19980319,81.7500,80.3700,82.0000,81.5000,82.3100,81.2500,7574800,82.0000
19980320,82.0000,81.7500,80.3700,82.1200,83.0000,80.5000,14077500,81.8100
19980323,81.8100,82.0000,81.7500,81.1900,84.6200,81.0600,13762500,83.8700
19980324,83.8700,81.8100,82.0000,84.1900,85.0600,83.4400,8070400,84.9400
19980325,84.9400,83.8700,81.8100,90.5000,90.9400,87.2500,31061200,88.8100
19980326,88.8100,84.9400,83.8700,88.5000,89.5600,87.5000,11360300,88.2500
19980327,88.2500,88.8100,84.9400,89.3700,89.3700,87.5600,9731000,87.8100
19980330,87.8100,88.2500,88.8100,88.0600,88.6200,87.1200,6865800,87.9400
19980331,87.9400,87.8100,88.2500,88.6200,89.7500,88.5000,9544300,89.5000
19980401,89.5000,87.9400,87.8100,89.8100,90.6200,88.5000,9208900,90.3700
19980402,90.3700,89.5000,87.9400,90.6900,91.9400,89.8700,10353700,91.3100
19980403,91.3100,90.3700,89.5000,92.0000,93.0600,91.5000,10246900,93.0000
19980406,93.0000,91.3100,90.3700,92.6200,92.6200,89.0600,18558000,89.9400
19980407,89.9400,93.0000,91.3100,89.3100,90.6200,86.7500,15657700,87.2500
19980408,87.2500,89.9400,93.0000,86.7500,89.0000,86.6200,9198300,88.9400
19980409,88.9400,87.2500,89.9400,87.9400,89.6200,87.5000,8404800,89.0000
19980413,89.0000,88.9400,87.2500,88.8100,89.0000,86.7500,8289100,88.6200
19980414,88.6200,89.0000,88.9400,88.6900,89.5600,87.5000,7119200,88.4400
19980415,88.4400,88.6200,89.0000,89.2500,91.3700,88.8700,10124600,91.3700
19980416,91.3700,88.4400,88.6200,90.3700,92.0600,90.1900,9923900,91.6900
19980417,91.6900,91.3700,88.4400,91.5000,92.2500,90.3100,9350700,92.1200
19980420,92.1200,91.6900,91.3700,92.3700,95.0000,92.1900,11383800,94.6200
19980421,94.6200,92.1200,91.6900,94.6900,95.0000,93.1200,12984600,94.8700
19980422,94.8700,94.6200,92.1200,96.0000,99.1200,95.6200,20038500,98.8700
19980423,98.8700,94.8700,94.6200,97.2500,97.3700,94.1400,16053800,94.5000
19980424,94.5000,98.8700,94.8700,93.5000,94.7500,91.8700,12859000,92.1200
19980427,92.1200,94.5000,98.8700,89.5000,90.5300,88.5000,14688000,90.3100
19980428,90.3100,92.1200,94.5000,92.1200,92.2500,89.0200,14167000,89.8700
19980429,89.8700,90.3100,92.1200,90.0600,91.5000,89.6200,12515400,90.5000
19980430,90.5000,89.8700,90.3100,91.5000,91.6200,89.6900,13618400,90.1200
19980501,90.1200,90.5000,89.8700,90.1900,90.5000,88.1200,8999000,89.6200
